DPC施設名,都道府県,状態,候補1,候補2,候補3,候補4,候補5,正解（ここに入力）
東京慈恵会医科大学附属病院,東京,候補なし（病床報告に存在しない可能性）,,,,,,
新潟県厚生農業協同組合連合会　長岡中央綜合病院,新潟,候補なし（病床報告に存在しない可能性）,,,,,,
社会医療法人警和会大阪警察病院,大阪,候補なし（病床報告に存在しない可能性）,,,,,,
社会福祉法人恩賜財団大阪府済生会　中津病院,大阪,候補なし（病床報告に存在しない可能性）,,,,,,
医療法人社団函館脳神経外科　函館脳神経外科病院,北海道,候補なし（病床報告に存在しない可能性）,,,,,,
岩手県立磐井病院,岩手,候補なし（病床報告に存在しない可能性）,,,,,,
独立行政法人国立病院機構　栃木医療センター,栃木,候補なし（病床報告に存在しない可能性）,,,,,,
独立行政法人国立病院機構宇都宮病院,栃木,候補なし（病床報告に存在しない可能性）,,,,,,
公益財団法人脳血管研究所美原記念病院,群馬,候補なし（病床報告に存在しない可能性）,,,,,,
社会福祉法人恩賜財団済生会　支部千葉県済生会　千葉県済生会習志野病院,千葉,候補なし（病床報告に存在しない可能性）,,,,,,
医療法人社団　青藍会鈴木病院,東京,候補なし（病床報告に存在しない可能性）,,,,,,
医療法人社団　直和会平成立石病院,東京,候補なし（病床報告に存在しない可能性）,,,,,,
医療法人　啓仁会　吉祥寺南病院,東京,候補なし（病床報告に存在しない可能性）,,,,,,
社会福祉法人　日本医療伝道会　衣笠病院,神奈川,候補なし（病床報告に存在しない可能性）,,,,,,
茅ケ崎市立病院,神奈川,候補なし（病床報告に存在しない可能性）,,,,,,
社会医療法人ジャパンメディカルアライアンス座間総合病院,神奈川,候補なし（病床報告に存在しない可能性）,,,,,,
社会医療法人　ジャパンメディカルアライアンス　海老名総合病院,神奈川,候補なし（病床報告に存在しない可能性）,,,,,,
新潟県厚生農業協同組合連合会　新潟医療センター,新潟,候補なし（病床報告に存在しない可能性）,,,,,,
新潟県厚生農業協同組合連合会　上越総合病院,新潟,候補なし（病床報告に存在しない可能性）,,,,,,
厚生連三条総合病院,新潟,候補なし（病床報告に存在しない可能性）,,,,,,
新潟県厚生農業協同組合連合会　柏崎総合医療センター,新潟,候補なし（病床報告に存在しない可能性）,,,,,,
新潟県厚生農業協同組合連合会　小千谷総合病院,新潟,候補なし（病床報告に存在しない可能性）,,,,,,
新潟県立燕労災病院,新潟,候補なし（病床報告に存在しない可能性）,,,,,,
新潟県厚生農業協同組合連合会　佐渡総合病院,新潟,候補なし（病床報告に存在しない可能性）,,,,,,
新潟県地域医療推進機構魚沼基幹病院,新潟,候補なし（病床報告に存在しない可能性）,,,,,,
ＪＡ静岡厚生連　遠州病院,静岡,候補なし（病床報告に存在しない可能性）,,,,,,
掛川市・袋井市病院企業団立　中東遠総合医療センター,静岡,候補なし（病床報告に存在しない可能性）,,,,,,
武田病院,京都,曖昧（選択してください）,医療法人財団医道会稲荷山武田病院,医療法人社団恵心会京都武田病院,宇治武田病院,医療法人財団宮津康生会宮津武田病院,医療法人財団康生会武田病院,
社会医療法人警和会　第二大阪警察病院,大阪,候補なし（病床報告に存在しない可能性）,,,,,,
多根総合病院,大阪,候補なし（病床報告に存在しない可能性）,,,,,,
社会福祉法人恩賜財団大阪府済生会泉尾病院,大阪,候補なし（病床報告に存在しない可能性）,,,,,,
医誠会病院,大阪,曖昧（選択してください）,医療法人医誠会摂津医誠会病院,医療法人医誠会茨木医誠会病院,,,,
医療法人医誠会城東中央病院,大阪,候補なし（病床報告に存在しない可能性）,,,,,,
医療法人竹村医学研究会（財団）小阪産病院,大阪,候補なし（病床報告に存在しない可能性）,,,,,,
社会福祉法人恩賜財団大阪府済生会吹田病院,大阪,候補なし（病床報告に存在しない可能性）,,,,,,
髙橋病院,兵庫,候補なし（病床報告に存在しない可能性）,,,,,,
医療法人徳洲会神戸徳洲会病院,兵庫,候補なし（病床報告に存在しない可能性）,,,,,,
社会医療法人　高清会　香芝旭ヶ丘病院,奈良,候補なし（病床報告に存在しない可能性）,,,,,,
岡山西大寺病院,岡山,曖昧（選択してください）,岡山西大寺病院附属中野分院,社会医療法人　盛全会　岡山西大寺病院,,,,
広島県厚生農業協同組合連合会　廣島総合病院,広島,候補なし（病床報告に存在しない可能性）,,,,,,
国家公務員共済組合連合会　高松病院,香川,候補なし（病床報告に存在しない可能性）,,,,,,
医療法人　久会　図南病院,高知,曖昧（選択してください）,図南病院,南病院,,,,
医療法人聖真会　渭南病院,高知,曖昧（選択してください）,南病院,渭南病院,,,,
古賀病院21,福岡,候補なし（病床報告に存在しない可能性）,,,,,,
今村病院,佐賀,曖昧（選択してください）,医療法人仁徳会 今村病院,医療法人社団如水会 今村病院,,,,
社会福祉法人　恩賜財団　済生会唐津病院,佐賀,候補なし（病床報告に存在しない可能性）,,,,,,
医療法人　青仁会　池田病院,鹿児島,曖昧（選択してください）,池田病院,池田病院,,,,
