DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
医療法人サヂカム会三国丘病院,大阪府,令和6年度出来高算定病院,0.0,120.0,未結合,,,,
地方独立行政法人長野県立病院機構長野県立阿南病院,長野県,令和7年度出来高算定病院,36.0,52.0,サフィックス一致,0.9,長野県立阿南病院,,
独立行政法人国立病院機構熊本南病院,熊本県,令和7年度出来高算定病院,74.0,172.0,完全一致,1.0,独立行政法人国立病院機構熊本南病院,,
医療法人社団大藏会札幌佐藤病院,北海道,令和6年度出来高算定病院,0.0,244.0,未結合,,,,
竹田綜合病院,福島県,平成16年度DPC参加病院,548.0,727.0,完全一致,1.0,竹田綜合病院,,
山形市立病院済生館,山形県,平成20年度DPC参加病院,528.0,528.0,完全一致,1.0,山形市立病院済生館,,
公立学校共済組合東北中央病院,山形県,平成21年度DPC参加病院,160.0,217.0,完全一致,1.0,公立学校共済組合東北中央病院,,
社会福祉法人恩賜財団済生会山形済生病院,山形県,平成18年度DPC参加病院,306.0,406.0,完全一致,1.0,社会福祉法人恩賜財団済生会 山形済生病院,,
米沢市立病院,山形県,平成21年度DPC参加病院,263.0,263.0,完全一致,1.0,米沢市立病院,,
鶴岡市立荘内病院,山形県,平成20年度DPC参加病院,461.0,461.0,完全一致,1.0,鶴岡市立荘内病院,,
山形県立新庄病院,山形県,平成22年度DPC参加病院,275.0,325.0,完全一致,1.0,山形県立新庄病院,,
山形県立河北病院,山形県,平成21年度DPC参加病院,66.0,116.0,完全一致,1.0,山形県立河北病院,,
公益財団法人ときわ会常磐病院,福島県,令和4年度DPC参加病院,180.0,240.0,完全一致,1.0,公益財団法人ときわ会常磐病院,,
医療法人徳洲会　庄内余目病院,山形県,平成22年度DPC参加病院,160.0,282.0,完全一致,1.0,医療法人徳洲会 庄内余目病院,,
社会医療法人福島厚生会福島第一病院,福島県,令和6年度DPC参加病院,85.0,130.0,サフィックス一致,0.9,福島第一病院,,
あづま脳神経外科病院,福島県,平成20年度DPC参加病院,40.0,168.0,完全一致,1.0,あづま脳神経外科病院,,
一般財団法人　脳神経疾患研究所　附属　南東北福島病院,福島県,平成21年度DPC参加病院,114.0,205.0,完全一致,1.0,一般財団法人脳神経疾患研究所附属南東北福島病院,,
済生会福島総合病院,福島県,平成21年度DPC参加病院,160.0,216.0,完全一致,1.0,済生会福島総合病院,,
一般財団法人大原記念財団　大原綜合病院,福島県,平成21年度DPC参加病院,344.0,344.0,完全一致,1.0,一般財団法人大原記念財団 大原綜合病院,,
福島赤十字病院,福島県,平成21年度DPC参加病院,286.0,286.0,完全一致,1.0,福島赤十字病院,,
水戸赤十字病院,茨城県,平成20年度DPC参加病院,259.0,325.0,完全一致,1.0,水戸赤十字病院,,
会津中央病院,福島県,平成22年度DPC参加病院,572.0,678.0,完全一致,1.0,会津中央病院,,
公立大学法人福島県立医科大学会津医療センター附属病院,福島県,平成21年度DPC参加病院,183.0,215.0,完全一致,1.0,公立大学法人福島県立医科大学会津医療センター附属病院,,
一般財団法人太田綜合病院附属太田西ノ内病院,福島県,平成20年度DPC参加病院,641.0,641.0,完全一致,1.0,一般財団法人太田綜合病院附属太田西ノ内病院,,
公益財団法人　湯浅報恩会寿泉堂綜合病院,福島県,平成20年度DPC参加病院,265.0,265.0,完全一致,1.0,公益財団法人湯浅報恩会寿泉堂綜合病院,,
公益財団法人星総合病院,福島県,平成21年度DPC参加病院,336.0,427.0,完全一致,1.0,公益財団法人星総合病院,,
松村総合病院,福島県,平成26年度DPC参加病院,41.0,199.0,完全一致,1.0,松村総合病院,,
独立行政法人労働者健康安全機構　福島労災病院,福島県,平成21年度DPC参加病院,266.0,336.0,完全一致,1.0,独立行政法人労働者健康安全機構福島労災病院,,
独立行政法人地域医療機能推進機構　仙台南病院,宮城県,平成16年度DPC参加病院,140.0,190.0,完全一致,1.0,独立行政法人地域医療機能推進機構 仙台南病院,,
福島県厚生農業協同組合連合会白河厚生総合病院,福島県,平成21年度DPC参加病院,342.0,342.0,完全一致,1.0,福島県厚生農業協同組合連合会 白河厚生総合病院,,
公立岩瀬病院,福島県,平成21年度DPC参加病院,231.0,279.0,完全一致,1.0,公立岩瀬病院,,
独立行政法人地域医療機能推進機構　二本松病院,福島県,平成16年度DPC参加病院,104.0,160.0,完全一致,1.0,独立行政法人地域医療機能推進機構 二本松病院,,
北福島医療センター,福島県,平成21年度DPC参加病院,120.0,225.0,完全一致,1.0,北福島医療センター,,
公立藤田総合病院,福島県,平成18年度DPC参加病院,247.0,311.0,完全一致,1.0,公立藤田総合病院,,
福島県厚生農業協同組合連合会　坂下厚生総合病院,福島県,令和6年度DPC参加病院,138.0,159.0,完全一致,1.0,福島県厚生農業協同組合連合会坂下厚生総合病院,,
福島県厚生農業協同組合連合会　塙厚生病院,福島県,平成28年度DPC参加病院,105.0,181.0,完全一致,1.0,福島県厚生農業協同組合連合会塙厚生病院,,
独立行政法人国立病院機構沼田病院,群馬県,令和6年度出来高算定病院,55.0,110.0,完全一致,1.0,独立行政法人国立病院機構沼田病院,,
医療法人社団東京せいわ会　おくさわ脳卒中リハビリテーション病院,東京都,令和6年度出来高算定病院,0.0,82.0,完全一致,1.0,医療法人社団東京せいわ会 おくさわ脳卒中リハビリテーション病院,,
よしか病院,島根県,令和6年度出来高算定病院,15.0,50.0,完全一致,1.0,よしか病院,,
医療法人社団鶴友会鶴田病院,熊本県,令和6年度出来高算定病院,10.0,105.0,サフィックス一致,0.9,鶴田病院,,
医療法人社団亮仁会那須中央病院,栃木県,令和6年度出来高算定病院,40.0,169.0,サフィックス一致,0.9,那須中央病院,,
社会福祉法人聖テレジア会総合病院聖ヨゼフ病院,神奈川県,令和6年度出来高算定病院,70.0,182.0,サフィックス一致,0.9,聖ヨゼフ病院,,
社会医療法人垣谷会　明治橋病院,大阪府,令和6年度出来高算定病院,0.0,120.0,完全一致,1.0,社会医療法人垣谷会明治橋病院,,
社会医療法人創和会　重井医学研究所附属病院,岡山県,令和6年度出来高算定病院,0.0,198.0,サフィックス一致,0.9,重井医学研究所附属病院,,
医療法人社団青泉会下北沢病院,東京都,令和6年度出来高算定病院,43.0,53.0,完全一致,1.0,医療法人社団青泉会 下北沢病院,,
医療法人社団五稜会病院,北海道,令和6年度出来高算定病院,0.0,193.0,未結合,,,,
医療法人社団履信会りしん会整形外科病院,北海道,令和6年度出来高算定病院,51.0,51.0,完全一致,1.0,医療法人社団　履信会　りしん会整形外科病院,,
社団医療法人至誠会こうじま慈愛病院,福島県,令和6年度出来高算定病院,30.0,120.0,完全一致,1.0,社団医療法人至誠会こうじま慈愛病院,,
永井ひたちの森病院,茨城県,令和6年度出来高算定病院,0.0,228.0,完全一致,1.0,永井ひたちの森病院,,
みどり病院,群馬県,令和6年度出来高算定病院,0.0,50.0,完全一致,1.0,みどり病院,,
社会福祉法人　恩賜財団　島根県済生会江津総合病院,島根県,令和6年度出来高算定病院,37.0,137.0,サフィックス一致,0.9,島根県済生会江津総合病院,,
帰巖会みえ病院,大分県,令和6年度出来高算定病院,0.0,110.0,完全一致,1.0,帰巖会 みえ病院,,
十慈堂病院,神奈川県,令和6年度出来高算定病院,0.0,29.0,完全一致,1.0,十慈堂病院,,
医療法人産育会堀病院,神奈川県,令和6年度出来高算定病院,68.0,68.0,完全一致,1.0,医療法人産育会 堀病院,,
医療法人社団澄鈴会粟津神経サナトリウム,石川県,令和6年度出来高算定病院,0.0,263.0,未結合,,,,
医療法人社団宗仁会筑後吉井こころホスピタル,福岡県,令和6年度出来高算定病院,0.0,180.0,未結合,,,,
医療法人トウスイ会稲津内科病院,鹿児島県,令和6年度出来高算定病院,0.0,41.0,サフィックス一致,0.9,稲津内科病院,,
社会医療法人中央会尼崎中央リハビリテーション病院,兵庫県,令和6年度出来高算定病院,0.0,93.0,完全一致,1.0,社会医療法人中央会 尼崎中央リハビリテーション病院,,
串間市民病院,宮崎県,令和6年度出来高算定病院,32.0,90.0,完全一致,1.0,串間市民病院,,
独立行政法人国立病院機構長良医療センター,岐阜県,令和6年度出来高算定病院,111.0,327.0,完全一致,1.0,独立行政法人国立病院機構長良医療センター,,
医療法人研成会札幌鈴木病院,北海道,令和6年度出来高算定病院,0.0,163.0,未結合,,,,
医療法人社団図南会あしりべつ病院,北海道,令和6年度出来高算定病院,0.0,316.0,未結合,,,,
北上駅前病院,岩手県,令和6年度出来高算定病院,50.0,80.0,完全一致,1.0,北上駅前病院,,
医療法人菅野愛生会緑ケ丘病院,宮城県,令和6年度出来高算定病院,0.0,291.0,未結合,,,,
医療法人香風会岩上記念病院,茨城県,令和6年度出来高算定病院,0.0,24.0,未結合,,,,
大平下病院,栃木県,令和6年度出来高算定病院,0.0,94.0,未結合,,,,
医療法人白百合会市原鶴岡病院,千葉県,令和6年度出来高算定病院,0.0,205.0,未結合,,,,
鋸南町国民健康保険鋸南病院,千葉県,令和6年度出来高算定病院,0.0,66.0,完全一致,1.0,鋸南町国民健康保険鋸南病院,,
バルツァ・ゴーデル,奈良県,令和5年度出来高算定病院,0.0,70.0,未結合,,,,
社会福祉法人和歌山つくし会つくし医療・福祉センター,和歌山県,令和5年度出来高算定病院,0.0,136.0,サフィックス一致,0.9,つくし医療・福祉センター,,
一般財団法人志清会岡山紀念病院,岡山県,令和5年度出来高算定病院,40.0,40.0,サフィックス一致,0.9,岡山紀念病院,,
マオカ病院,香川県,令和5年度出来高算定病院,29.0,58.0,サフィックス一致,0.9,医療法人社団弘徳会マオカ病院,,
きら病院,愛媛県,令和5年度出来高算定病院,30.0,30.0,完全一致,1.0,きら病院,,
栗整形外科病院,愛媛県,令和5年度出来高算定病院,40.0,40.0,完全一致,1.0,栗整形外科病院,,
東京Ｄタワーホスピタル,東京都,令和5年度出来高算定病院,32.0,32.0,完全一致,1.0,東京Dタワーホスピタル,,
医療法人社団敬悠会副都心病院,東京都,令和5年度出来高算定病院,0.0,50.0,完全一致,1.0,医療法人社団敬悠会 副都心病院,,
小富士病院,福岡県,令和5年度出来高算定病院,0.0,39.0,完全一致,1.0,小富士病院,,
医療法人誠晴會ふきあげ納富病院,佐賀県,令和5年度出来高算定病院,30.0,30.0,完全一致,1.0,医療法人誠晴會ふきあげ納富病院,,
